atributo,classe
"-165.676.214.916.494.000,00","0,00"
"93.377.426.028.011.900,00","0,00"
"120.845.837.193.045.000,00","1.000.000.000.000.000.000,00"
"-165.775.082.818.632.000,00","0,00"
"153.949.204.572.894.000,00","1.000.000.000.000.000.000,00"
"-115.068.666.373.138.000,00","0,00"
"10.658.363.546.742.200,00","0,00"
"322.977.529.613.919.000,00","1.000.000.000.000.000.000,00"
"47.253.546.682.936.400,00","0,00"
"372.975.790.971.157.000,00","1.000.000.000.000.000.000,00"
"578.980.004.471.561.000,00","1.000.000.000.000.000.000,00"
"583.132.128.760.487.000,00","1.000.000.000.000.000.000,00"
"-110.610.405.730.584.000,00","0,00"
"-158.711.416.991.545.000,00","0,00"
"127.214.015.470.328.000,00","0,00"
"135.329.617.016.883.000,00","0,00"
"-36.626.660.319.030.400,00","0,00"
"106.588.428.682.216.000,00","1.000.000.000.000.000.000,00"
"610.570.996.144.224.000,00","1.000.000.000.000.000.000,00"
"27.971.125.914.087.200,00","0,00"
"451.996.183.622.058.000,00","1.000.000.000.000.000.000,00"
"-128.941.274.566.156.000,00","0,00"
"65.362.533.326.395.800,00","0,00"
"-19.693.273.536.226.600,00","0,00"
"113.373.253.677.891.000,00","0,00"
"135.417.931.547.288.000,00","0,00"
"330.638.298.756.969.000,00","1.000.000.000.000.000.000,00"
"-122.002.766.273.608.000,00","0,00"
"47.390.632.705.038.900,00","0,00"
"346.819.892.863.410.000,00","1.000.000.000.000.000.000,00"
"437.008.993.921.684.000,00","1.000.000.000.000.000.000,00"
"63.078.674.405.881.200,00","0,00"
"76.706.947.694.287.300,00","0,00"
"352.946.075.048.223.000,00","1.000.000.000.000.000.000,00"
"137.981.065.848.545.000,00","0,00"
"215.210.203.368.870.000,00","0,00"
"262.568.358.393.406.000,00","0,00"
"272.769.146.630.153.000,00","1.000.000.000.000.000.000,00"
"424.431.143.840.804.000,00","1.000.000.000.000.000.000,00"
"-166.045.593.163.465.000,00","0,00"
"95.593.334.165.927.400,00","0,00"
"-28.148.578.881.580.500,00","0,00"
"159.779.435.234.995.000,00","0,00"
"-63.571.002.446.310.600,00","0,00"
"506.828.311.863.836.000,00","1.000.000.000.000.000.000,00"
"-92.478.565.249.084,90","0,00"
"-113.191.054.629.238.000,00","0,00"
"49.941.078.191.480.900,00","0,00"
"110.551.690.106.051.000,00","0,00"
"5.264.939.294.479.540,00","0,00"
"-31.050.324.259.350.400,00","0,00"
"485.863.373.594.273.000,00","1.000.000.000.000.000.000,00"
"141.006.286.328.127.000,00","0,00"
"274.465.446.598.164.000,00","1.000.000.000.000.000.000,00"
"344.339.417.982.815.000,00","1.000.000.000.000.000.000,00"
"620.441.665.992.404.000,00","1.000.000.000.000.000.000,00"
"102.464.788.941.333.000,00","1.000.000.000.000.000.000,00"
"4.576.766.752.432.060,00","0,00"
"424.536.728.162.872.000,00","1.000.000.000.000.000.000,00"
"-35.960.593.736.019.600,00","0,00"
"12.822.703.948.042.700,00","0,00"
"-32.503.459.159.290.800,00","0,00"
"169.758.940.101.689.000,00","0,00"
"-104.699.325.393.961.000,00","0,00"
"10.550.261.902.000.100,00","0,00"
"28.451.497.605.008.900,00","0,00"
"-82.180.855.046.524.100,00","0,00"
"94.711.146.716.886.700,00","0,00"
"-46.817.866.843.772.400,00","0,00"
"-5.272.063.678.470.950,00","0,00"
"96.857.482.599.019.900,00","0,00"
"390.473.828.225.494.000,00","1.000.000.000.000.000.000,00"
"462.209.166.750.085.000,00","1.000.000.000.000.000.000,00"
"-23.746.379.953.382.700,00","0,00"
"160.596.109.040.061.000,00","0,00"
"-305.324.846.661.349.000,00","0,00"
"-25.512.631.082.016.300,00","0,00"
"-65.161.296.337.014.200,00","0,00"
"221.225.156.334.615.000,00","0,00"
"-74.978.120.615.781.200,00","0,00"
"308.717.356.648.489.000,00","1.000.000.000.000.000.000,00"
"217.468.783.055.172.000,00","1.000.000.000.000.000.000,00"
"-103.863.867.428.069.000,00","0,00"
"602.553.520.015.094.000,00","1.000.000.000.000.000.000,00"
"539.092.923.713.153.000,00","1.000.000.000.000.000.000,00"
"742.717.113.002.194.000,00","1.000.000.000.000.000.000,00"
"529.841.567.750.530.000,00","1.000.000.000.000.000.000,00"
"142.905.313.220.628.000,00","0,00"
"38.375.728.099.112.200,00","0,00"
"-4.974.674.330.522.600,00","0,00"
"46.191.240.055.551.800,00","0,00"
"-42.416.587.099.886.900,00","0,00"
"180.217.783.378.093.000,00","1.000.000.000.000.000.000,00"
"428.643.636.209.798.000,00","1.000.000.000.000.000.000,00"
"7.651.174.042.860.960,00","0,00"
"-84.857.091.990.936.700,00","1.000.000.000.000.000.000,00"
"682.823.278.139.744.000,00","1.000.000.000.000.000.000,00"
"603.354.356.201.732.000,00","1.000.000.000.000.000.000,00"
"109.826.152.820.861.000,00","0,00"
"-38.730.365.983.745.200,00","0,00"
"50.440.606.928.076.700,00","1.000.000.000.000.000.000,00"
"-184.355.277.241.506.000,00","0,00"
"75.027.370.504.200.900,00","0,00"
"-7.427.922.352.024.990,00","0,00"
"13.379.951.976.919.600,00","0,00"
"647.846.795.949.208.000,00","1.000.000.000.000.000.000,00"
"547.404.868.164.915.000,00","1.000.000.000.000.000.000,00"
"709.133.668.774.596.000,00","1.000.000.000.000.000.000,00"
"4.119.826.139.219.560,00","0,00"
"35.151.991.116.816.100,00","0,00"
"281.089.492.410.299.000,00","1.000.000.000.000.000.000,00"
"489.509.702.231.125.000,00","1.000.000.000.000.000.000,00"
"137.002.556.262.227.000,00","0,00"
"633.300.438.071.789.000,00","1.000.000.000.000.000.000,00"
"-23.713.599.779.816.700,00","0,00"
"87.568.891.979.114.500,00","0,00"
"-140.846.590.169.365.000,00","0,00"
"-21.804.382.044.262.900,00","0,00"
"-98.092.969.631.832.600,00","0,00"
"64.958.509.101.583.800,00","0,00"
"-28.887.640.426.716.600,00","0,00"
"-34.496.585.333.903.300,00","0,00"
"416.106.036.571.294,00","0,00"
"-40.611.551.562.878.600,00","0,00"
"128.390.470.880.165.000,00","0,00"
"-176.776.714.346.236.000,00","0,00"
"342.193.263.135.382.000,00","1.000.000.000.000.000.000,00"
"523.981.327.906.451.000,00","1.000.000.000.000.000.000,00"
"92.215.638.009.573.100,00","1.000.000.000.000.000.000,00"
"32.405.087.789.972.100,00","0,00"
"134.724.896.627.904.000,00","0,00"
"26.541.939.011.452.500,00","0,00"
"331.806.840.670.970.000,00","1.000.000.000.000.000.000,00"
"-59.646.127.707.045.100,00","0,00"
