atributo,classe
-165.676.214.916.494.000,0
93.377.426.028.011.900,0
120.845.837.193.045.000,1.000.000.000.000.000.000
-165.775.082.818.632.000,0
153.949.204.572.894.000,1.000.000.000.000.000.000
-115.068.666.373.138.000,0
10.658.363.546.742.200,0
322.977.529.613.919.000,1.000.000.000.000.000.000
47.253.546.682.936.400,0
372.975.790.971.157.000,1.000.000.000.000.000.000
578.980.004.471.561.000,1.000.000.000.000.000.000
583.132.128.760.487.000,1.000.000.000.000.000.000
-110.610.405.730.584.000,0
-158.711.416.991.545.000,0
127.214.015.470.328.000,0
135.329.617.016.883.000,0
-36.626.660.319.030.400,0
106.588.428.682.216.000,1.000.000.000.000.000.000
610.570.996.144.224.000,1.000.000.000.000.000.000
27.971.125.914.087.200,0
451.996.183.622.058.000,1.000.000.000.000.000.000
-128.941.274.566.156.000,0
65.362.533.326.395.800,0
-19.693.273.536.226.600,0
113.373.253.677.891.000,0
135.417.931.547.288.000,0
330.638.298.756.969.000,1.000.000.000.000.000.000
-122.002.766.273.608.000,0
47.390.632.705.038.900,0
346.819.892.863.410.000,1.000.000.000.000.000.000
437.008.993.921.684.000,1.000.000.000.000.000.000
63.078.674.405.881.200,0
76.706.947.694.287.300,0
352.946.075.048.223.000,1.000.000.000.000.000.000
137.981.065.848.545.000,0
215.210.203.368.870.000,0
262.568.358.393.406.000,0
272.769.146.630.153.000,1.000.000.000.000.000.000
424.431.143.840.804.000,1.000.000.000.000.000.000
-166.045.593.163.465.000,0
95.593.334.165.927.400,0
-28.148.578.881.580.500,0
159.779.435.234.995.000,0
-63.571.002.446.310.600,0
506.828.311.863.836.000,1.000.000.000.000.000.000
-92.478.565.249.085,0
-113.191.054.629.238.000,0
49.941.078.191.480.900,0
110.551.690.106.051.000,0
5.264.939.294.479.540,0
-31.050.324.259.350.400,0
485.863.373.594.273.000,1.000.000.000.000.000.000
141.006.286.328.127.000,0
274.465.446.598.164.000,1.000.000.000.000.000.000
344.339.417.982.815.000,1.000.000.000.000.000.000
620.441.665.992.404.000,1.000.000.000.000.000.000
102.464.788.941.333.000,1.000.000.000.000.000.000
4.576.766.752.432.060,0
424.536.728.162.872.000,1.000.000.000.000.000.000
-35.960.593.736.019.600,0
12.822.703.948.042.700,0
-32.503.459.159.290.800,0
169.758.940.101.689.000,0
-104.699.325.393.961.000,0
10.550.261.902.000.100,0
28.451.497.605.008.900,0
-82.180.855.046.524.100,0
94.711.146.716.886.700,0
-46.817.866.843.772.400,0
-5.272.063.678.470.950,0
96.857.482.599.019.900,0
390.473.828.225.494.000,1.000.000.000.000.000.000
462.209.166.750.085.000,1.000.000.000.000.000.000
-23.746.379.953.382.700,0
160.596.109.040.061.000,0
-305.324.846.661.349.000,0
-25.512.631.082.016.300,0
-65.161.296.337.014.200,0
221.225.156.334.615.000,0
-74.978.120.615.781.200,0
308.717.356.648.489.000,1.000.000.000.000.000.000
217.468.783.055.172.000,1.000.000.000.000.000.000
-103.863.867.428.069.000,0
602.553.520.015.094.000,1.000.000.000.000.000.000
539.092.923.713.153.000,1.000.000.000.000.000.000
742.717.113.002.194.000,1.000.000.000.000.000.000
529.841.567.750.530.000,1.000.000.000.000.000.000
142.905.313.220.628.000,0
38.375.728.099.112.200,0
-4.974.674.330.522.600,0
46.191.240.055.551.800,0
-42.416.587.099.886.900,0
180.217.783.378.093.000,1.000.000.000.000.000.000
428.643.636.209.798.000,1.000.000.000.000.000.000
7.651.174.042.860.960,0
-84.857.091.990.936.700,1.000.000.000.000.000.000
682.823.278.139.744.000,1.000.000.000.000.000.000
603.354.356.201.732.000,1.000.000.000.000.000.000
109.826.152.820.861.000,0
-38.730.365.983.745.200,0
50.440.606.928.076.700,1.000.000.000.000.000.000
-184.355.277.241.506.000,0
75.027.370.504.200.900,0
-7.427.922.352.024.990,0
13.379.951.976.919.600,0
647.846.795.949.208.000,1.000.000.000.000.000.000
547.404.868.164.915.000,1.000.000.000.000.000.000
709.133.668.774.596.000,1.000.000.000.000.000.000
4.119.826.139.219.560,0
35.151.991.116.816.100,0
281.089.492.410.299.000,1.000.000.000.000.000.000
489.509.702.231.125.000,1.000.000.000.000.000.000
137.002.556.262.227.000,0
633.300.438.071.789.000,1.000.000.000.000.000.000
-23.713.599.779.816.700,0
87.568.891.979.114.500,0
-140.846.590.169.365.000,0
-21.804.382.044.262.900,0
-98.092.969.631.832.600,0
64.958.509.101.583.800,0
-28.887.640.426.716.600,0
-34.496.585.333.903.300,0
416.106.036.571.294,0
-40.611.551.562.878.600,0
128.390.470.880.165.000,0
-176.776.714.346.236.000,0
342.193.263.135.382.000,1.000.000.000.000.000.000
523.981.327.906.451.000,1.000.000.000.000.000.000
92.215.638.009.573.100,1.000.000.000.000.000.000
32.405.087.789.972.100,0
134.724.896.627.904.000,0
26.541.939.011.452.500,0
331.806.840.670.970.000,1.000.000.000.000.000.000
-59.646.127.707.045.100,0
-39.620.789.407.905.700,0
622.385.593.463.623.000,1.000.000.000.000.000.000
485.544.053.795.117.000,1.000.000.000.000.000.000
-25.702.166.747.143.800,0
-136.584.464.235.354.000,0
101.698.205.637.595.000,0
19.074.199.423.614.800,0
46.717.383.736.556.200,0
-47.150.844.510.530.500,0
360.591.188.189.936.000,1.000.000.000.000.000.000
433.318.051.610.659.000,1.000.000.000.000.000.000
309.498.089.405.586.000,1.000.000.000.000.000.000
-104.944.654.326.118.000,0
-70.395.458.364.954.600,0
-9.722.721.242.490.730,0
660.981.384.279.764.000,1.000.000.000.000.000.000
-123.214.842.041.655.000,0
165.329.141.459.402.000,0
383.425.084.770.350.000,1.000.000.000.000.000.000
631.762.572.765.831.000,1.000.000.000.000.000.000
-87.385.471.604.124.300,0
-27.735.904.775.230.600,0
-204.260.159.081.016.000,0
560.403.309.947.618.000,1.000.000.000.000.000.000
-21.282.400.844.629.700,0
82.422.826.926.835.900,0
53.223.295.530.118.500,0
649.784.836.473.916.000,1.000.000.000.000.000.000
618.937.969.221.433.000,1.000.000.000.000.000.000
683.602.723.007.228.000,1.000.000.000.000.000.000
125.329.420.485.228.000,0
83.195.624.197.579.000,0
-34.424.971.187.390.600,0
-160.920.748.659.009.000,0
4.913.653.115.436.880,0
65.830.873.522.356.400,0
-39.339.400.114.614.700,0
347.727.194.254.312.000,1.000.000.000.000.000.000
-143.818.881.812.860.000,0
77.996.257.793.227.900,0
34.767.461.802.771.100,0
2.948.190.015.645.030,0
112.874.447.235.755.000,0
-10.057.043.709.037.500,0
-1.177.913.425.724.090,0
-32.250.568.335.718.900,0
-104.538.396.039.665.000,0
-53.266.364.322.355.600,0
